query_name,data_name,ngraphs,tokens,n_patterns,n_graphs,n_total_objects,loading_time,indexing_time,materialise_time_collection,materialise_time_final,query_collect_node_match,query_collect_edge_match,generate_nested_morphisms,run_transform
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,17.2763,2.45714,2.51119,1.12454,0.088779,0.174963,15.1668,8.47492
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.56213,2.40094,2.61375,1.17185,0.083399,0.176188,16.3547,8.61968
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.56753,2.72546,2.66103,1.20718,0.090362,0.221905,15.9903,8.65694
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.39151,2.33377,2.56606,1.12824,0.086575,0.170718,15.3667,8.96757
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.67494,2.32634,2.76967,1.21493,0.096414,0.180164,16.7526,9.04767
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.70995,2.39675,3.07823,1.15927,0.083514,0.17367,15.3782,8.40155
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.7548,2.33227,2.62776,1.12647,0.084066,0.173156,16.5577,8.59109
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.46682,2.43202,2.79168,1.1233,0.085211,0.172373,15.7971,8.272
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.49535,2.39948,2.53342,1.25187,0.117992,0.177918,15.5816,8.44696
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.56845,2.40462,2.9989,1.13912,0.088039,0.173264,15.6143,8.47686
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.62638,2.373,2.67695,1.19705,0.088316,0.181619,16.6237,9.22081
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.69402,2.37156,2.88852,1.14474,0.086562,0.173794,15.5126,8.64067
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.72005,2.38946,2.7991,1.23711,0.084682,0.184393,16.8192,9.18843
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.98368,2.54429,2.53885,1.16744,0.104531,0.193264,15.8552,8.44978
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.54733,2.49535,2.59316,1.12198,0.117717,0.176627,15.5107,8.75817
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.40708,2.31822,2.47169,1.13949,0.084897,0.210245,15.3404,8.73517
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.4353,2.43597,2.61399,1.14626,0.087103,0.181491,15.8273,8.41655
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.77639,2.49085,2.45749,1.56964,0.083122,0.172721,15.3992,8.40301
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.58443,2.4185,2.59231,1.13668,0.087285,0.205567,15.6154,8.51931
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,10,9,149,0,9.33402,2.37493,2.64734,1.26481,0.089516,0.180555,16.5436,8.62983
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.5835,4.77993,4.44656,1.67245,0.097118,0.2822,27.2975,14.8067
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.685,3.84869,4.23767,1.58156,0.092444,0.269504,25.7605,13.978
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.3413,3.84889,4.17961,1.56547,0.088411,0.26837,25.7346,13.5948
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.5552,3.86395,4.28657,1.63643,0.092942,0.265183,25.544,14.2314
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.4821,3.83859,4.23959,1.60129,0.090798,0.26327,25.8206,13.6825
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.752,3.94354,4.22367,1.64497,0.092604,0.269369,25.601,13.8415
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.349,3.89893,4.26562,1.56724,0.09213,0.262571,25.7122,13.9142
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.8656,3.82422,4.27903,1.60207,0.09027,0.269212,26.4789,14.0728
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.3655,3.81789,4.23278,1.61215,0.098467,0.268761,25.6349,13.8855
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.4685,3.84816,4.2874,1.59627,0.088311,0.26106,26.4545,13.8959
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.8388,3.94978,4.29181,1.61506,0.09694,0.283648,26.6379,14.2263
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.4394,3.80496,4.25038,1.59012,0.094856,0.273661,26.9548,13.9656
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.4805,3.82263,4.32016,1.64255,0.088917,0.260917,26.1312,13.9619
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.3309,3.90525,4.32642,1.6249,0.095775,0.26597,25.9755,13.9874
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.3702,3.85201,4.26236,1.62226,0.093114,0.265426,25.9098,13.9472
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.2323,3.84729,4.23992,1.62902,0.105964,0.271376,26.2905,14.0298
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.4038,3.92942,4.315,1.64326,0.095657,0.281127,26.7653,14.3875
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.4202,3.91572,4.33369,1.68352,0.09208,0.269225,26.0604,14.0387
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.26,3.79718,4.23723,1.59857,0.097955,0.279405,26.2649,14.092
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,15,9,149,0,16.2736,3.79843,4.31869,1.60208,0.087707,0.262181,26.0483,13.7071
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,20.6781,4.69497,5.36871,2.03433,0.093943,0.346113,31.8951,16.3918
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,20.9514,4.73922,5.29743,1.98331,0.098211,0.3323,31.303,16.4331
